גוף מנהל,שם קרן,סוג קופה,מספר קופה,לינק לאתר,לינק לקובץ Q1 2013,לינק לקובץ Q2 2013
"מגדל אחזקות ביטוח ופיננסים בע""מ",מגדל לתגמולים ולפיצויים,גמל,744,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/Assets3103013.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ",מגדל פלטינום למעסיק,גמל,870,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/migdal_platinium_lamaasik.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ","מגדל פלטינום לתגמולים אג""ח ממשלתי",גמל,859,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/platinium_gemel_agach_memshalti.xls.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ",מגדל פלטינום לתגמולים ביג כללי,גמל,1156,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/migdal_platinium_letagmulim_big_clali.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ","מגדל פלטינום לתגמולים חו""ל",גמל,862,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/migdal_platinium_gemel_hul.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ",מגדל פלטינום לתגמולים כללי,גמל,974,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/migdal_platinium_gemel_clali.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ",מגדל פלטינום לתגמולים מנייתי,גמל,863,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/migdal_platinium_letagmulim_menayati.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ",מגדל פלטינום לתגמולים צמוד מדד,גמל,860,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/migdal_platinium_letagmulim_tzamud_madad.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ",מגדל פלטינום לתגמולים שקלי קצר,גמל,858,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/platinium_gemel_shikli_kazar.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ",מגדל-מרכזית לפיצויים,גמל,745,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/migdal_mercazit_lepizuim.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ",מקפת דמי מחלה,גמל,1161,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/migdal_machala.xls,
"מגדל אחזקות ביטוח ופיננסים בע""מ",מקפת תקציבית,גמל,1304,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/migdal_takzivit.xls,
"מגדל חברה לביטוח בע""מ",מקפת אישית,קרן פנסיה,162,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/isit.xls,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0613/ishit.xls
"מגדל חברה לביטוח בע""מ",מקפת משלימה *,קרן פנסיה,659,https://www.migdal.co.il/He/MigdalMakefet/Investments/Nechasim/Pages/default.aspx,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0313/mashlima.xls,https://www.migdal.co.il/He/MigdalMakefet/Solutions/Documents/AssetsList/0613/mashlima.xls
,מגדל - כללי 1 - קרן י' החדשה,ביטוח מנהלים,17013,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/MigdalNew_Participate_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/MigdalNew_Participate_30062013.xls
,"מגדל-אג""ח ופיקדונות 100%",ביטוח מנהלים,36,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdal_agachpikadon_100_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdal_agachpikadon_100_30062013.xls
,"מגדל-אג""ח ופיקדונות מינימום 65%",ביטוח מנהלים,17,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdal_agachmin_65_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdal_agachmin_65_30062013.xls
,"מגדל-אג""ח ופיקדונות מינימום 80%",ביטוח מנהלים,69,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_agachmin_80_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_agachmin_80_30062013.xls
,"מגדל-אג""ח ופקדונות (100%)",ביטוח מנהלים,68,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_agachpikadon_100_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_agachpikadon_100_30062013.xls
,"מגדל-אג""ח ופקדונות (מינ' 65%)",ביטוח מנהלים,75,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_clali3_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_clali3_30062013.xls
,"מגדל-אג""ח ופקדונות (מינ' 80%)",ביטוח מנהלים,16,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdal_agachmin_80_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdal_agachmin_80_30062013.xls
,מגדל-כללי 2,ביטוח מנהלים,19,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdal_clali2_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdal_clali2_30062013.xls
,מגדל-כללי 2 ( עד 35% מניות),ביטוח מנהלים,74,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_clali2_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_clali2_30062013.xls
,מגדל-כללי 3,ביטוח מנהלים,20,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdal_clali3_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdal_clali3_30062013.xls
,מגדל-כללי 3 ( עד 65% מניות),ביטוח מנהלים,70,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_agachmin_65_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_agachmin_65_30062013.xls
,"מגדל-מט""ח (מינ' 50%)",ביטוח מנהלים,,,,
,"מגדל-מט""ח (מינ' 70%)",ביטוח מנהלים,,,,
,"מגדל-מט""ח מינימום 50%",ביטוח מנהלים,,,,
,"מגדל-מט""ח מינימום 70%",ביטוח מנהלים,,,,
,מגדל-מנייתי,ביטוח מנהלים,76,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_menayati_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_menayati_30062013.xls
,מגדל-מנייתי,ביטוח מנהלים,21,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdal_menayati_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdal_menayati_30062013.xls
,מגדל-מסלול השקעה לפי הכשר הלכתי,ביטוח מנהלים,185,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdalkosher_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdalkosher_30062013.xls
,מגדל-צמוד דולר,ביטוח מנהלים,,,,
,מגדל-צמוד לדולר,ביטוח מנהלים,,,,
,מגדל-קרן ח',ביטוח מנהלים,17010,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/MigdalParticipate_Keren_Chet_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/MigdalParticipate_Keren_Chet_30062013.xls
,מגדל-קרן ט',ביטוח מנהלים,17011,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/MigdalParticipate_Keren_Tet_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/MigdalParticipate_Keren_Tet_30062013.xls
,מגדל-קרן י',ביטוח מנהלים,17012,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/MigdalParticipate_Keren_Yud_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/MigdalParticipate_Keren_Yud_30062013.xls
