קטגוריית נכס,נכס,שם נייר ערך,מספר נייר ערך,נכס הבסיס,ענף מסחר,דירוג,שם המדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפדיון,ערך נקוב,שער,שווי שוק,שווי הוגן,שיעור מהערך הנקוב המונפק,שיעור מנכסי ההשקעה,תאריך שערוך אחרון,אופי הנכס,שעור תשואה במהלך התקופה
Instrument Type,Instrument Sub Type,Instrument Symbol,Instrument ID,Underlying Asset,Industry,Rating,Rating Agency,Date of Purchase,Average of Duration,Currency,Intrest Rate,Yield,Par Value,Rate,Market Cap,Fair Value,Rate of IPO,Rate of Fund,Date of Revaluation,Type of Asset,
סוג משתנה,,string,string,,string,string,string,date,number,string,number,number,number,number,number,number,number,number,date,,number
יחידה,,,,,,,,,שנים,,%,&,₪,אג',אלפי ₪,,%,%,,,
סכום נכסי הקרן,,,,,,,,,,,,,,,,1,,2,,,
מזומנים,,0,1,,,2,3,,,4,5,6,,,7,,,8,,,
ניירות ערך סחירים,תעודות התחייבות ממשלתיות,0,1,,,2,3,4,5,6,7,8,9,10,11,,12,13,,,
ניירות ערך סחירים,תעודות חוב מסחריות,0,1,,2,3,4,5,6,7,8,9,10,11,12,,13,14,,,
ניירות ערך סחירים,"אג""ח קונצרני",0,1,,2,3,4,5,6,7,8,9,10,11,12,,13,14,,,
ניירות ערך סחירים,מניות,0,1,,2,,,,,3,,,4,5,6,,7,8,,,
ניירות ערך סחירים,תעודות סל,0,1,,,,,,,2,,,3,4,5,,6,7,,,
ניירות ערך סחירים,קרנות נאמנות,0,1,,2,3,4,,,5,,,6,7,8,,9,10,,,
ניירות ערך סחירים,כתבי אופציה,0,1,,2,,,,,3,,,4,5,6,,7,8,,,
ניירות ערך סחירים,אופציות,0,1,,2,,,,,3,,,4,5,6,,7,8,,,
ניירות ערך סחירים,חוזים עתידיים,0,1,,2,,,,,3,,,4,5,,,,,,,
ניירות ערך סחירים,מוצרים מובנים,0,1,2,,3,4,5,6,7,8,9,10,11,12,,13,14,,,
ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,,,
ניירות ערך לא סחירים,תעודות התחייבות ממשלתיות,0,1,,,2,3,4,5,6,7,8,9,10,,11,12,13,,,
ניירות ערך לא סחירים,תעודות חוב מסחריות,0,1,,2,3,4,5,6,7,8,9,10,11,,12,13,14,,,
ניירות ערך לא סחירים,"אג""ח קונצרני",0,1,,2,3,4,5,6,7,8,9,10,11,,12,13,14,,,
ניירות ערך לא סחירים,מניות,0,1,,2,,,,,3,,,4,5,6,,7,8,,,
ניירות ערך לא סחירים,קרנות השקעה,0,1,,2,,,4,,3,,,5,6,,7,8,9,,,
ניירות ערך לא סחירים,כתבי אופציה,0,1,,2,,,4,,3,,,5,6,,7,8,9,,,
ניירות ערך לא סחירים,אופציות,0,1,,2,,,4,,3,,,5,6,,7,8,9,,,
ניירות ערך לא סחירים,חוזים עתידיים,0,1,,2,,,4,,3,,,5,6,,7,8,,,,
ניירות ערך לא סחירים,מוצרים מובנים,0,1,2,,3,4,5,6,7,8,9,10,11,12,,13,14,,,
הלוואות,,0,1,,,2,3,,4,5,6,7,8,9,,10,,11,,,
פקדונות,,0,1,,,2,3,,4,5,6,7,,9,,10,,11,,,
זכויות מקרקעין,,0,,,,,,,,,,,,,,4,,5,1,2,3
השקעות אחרות,,0,,,,1,2,,,,3,4,,,,5,,6,,,